ORDERNUMBER,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE,ORDERLINENUMBER
10267,S18_4933,Muscle Machine Inc,NYC,USA,NA,Small,1
10279,S18_4933,Euro Shopping Channel,Madrid,Spain,EMEA,Small,1
10288,S18_4933,Handji Gifts& Co,Singapore,Singapore,APAC,Small,7
10302,S18_4933,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Small,3
10311,S18_4933,Euro Shopping Channel,Madrid,Spain,EMEA,Small,2
10332,S18_4933,"AV Stores, Co.",Manchester,UK,EMEA,Medium,3
10344,S18_4933,Marseille Mini Autos,Marseille,France,EMEA,Small,5
10367,S18_4933,Toys4GrownUps.com,Pasadena,USA,NA,Medium,9
10380,S18_4933,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,2
10407,S18_4933,The Sharp Gifts Warehouse,San Jose,USA,NA,Medium,4
10420,S18_4933,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,7
10110,S24_1046,"AV Stores, Co.",Manchester,UK,EMEA,Medium,13
10124,S24_1046,Signal Gift Stores,Las Vegas,USA,NA,Small,12
10148,S24_1046,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,6
10161,S24_1046,Heintze Collectables,Aaarhus,Denmark,EMEA,Small,5
10172,S24_1046,Gift Depot Inc.,Bridgewater,USA,NA,Small,3
10182,S24_1046,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,16
10192,S24_1046,Online Diecast Creations Co.,Nashua,USA,NA,Small,4
10204,S24_1046,Muscle Machine Inc,NYC,USA,NA,Small,10
10212,S24_1046,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10226,S24_1046,Collectable Mini Designs Co.,San Diego,USA,NA,Small,1
10241,S24_1046,Mini Caravy,Strasbourg,France,EMEA,Small,8
10267,S24_1046,Muscle Machine Inc,NYC,USA,NA,Medium,5
10279,S24_1046,Euro Shopping Channel,Madrid,Spain,EMEA,Small,5
10288,S24_1046,Handji Gifts& Co,Singapore,Singapore,APAC,Small,11
10301,S24_1046,"Norway Gifts By Mail, Co.",Oslo,Norway,EMEA,Small,1
10311,S24_1046,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10321,S24_1046,FunGiftIdeas.com,New Bedford,USA,NA,Small,3
10332,S24_1046,"AV Stores, Co.",Manchester,UK,EMEA,Small,4
10344,S24_1046,Marseille Mini Autos,Marseille,France,EMEA,Small,7
10367,S24_1046,Toys4GrownUps.com,Pasadena,USA,NA,Small,10
10380,S24_1046,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10407,S24_1046,The Sharp Gifts Warehouse,San Jose,USA,NA,Small,8
10420,S24_1046,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,11
10104,S24_1444,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10115,S24_1444,Classic Legends Inc.,NYC,USA,NA,Medium,2
10127,S24_1444,Muscle Machine Inc,NYC,USA,NA,Small,8
10141,S24_1444,Suominen Souveniers,Espoo,Finland,EMEA,Small,2
10152,S24_1444,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Small,4
10165,S24_1444,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Small,9
10176,S24_1444,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Small,8
10184,S24_1444,"Iberia Gift Imports, Corp.",Sevilla,Spain,EMEA,Small,3
10195,S24_1444,Mini Classics,White Plains,USA,NA,Small,3
10207,S24_1444,Diecast Collectables,Boston,USA,NA,Small,4
10220,S24_1444,"Clover Collections, Co.",Dublin,Ireland,EMEA,Small,8
10230,S24_1444,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Small,6
10246,S24_1444,Euro Shopping Channel,Madrid,Spain,EMEA,Small,2
10259,S24_1444,Handji Gifts& Co,Singapore,Singapore,APAC,Small,1
10271,S24_1444,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,2
10282,S24_1444,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,11
10292,S24_1444,Land of Toys Inc.,NYC,USA,NA,Small,5
10305,S24_1444,Marta's Replicas Co.,Cambridge,USA,NA,Small,2
10314,S24_1444,Heintze Collectables,Aaarhus,Denmark,EMEA,Small,11
10324,S24_1444,Vitachrome Inc.,NYC,USA,NA,Small,14
10336,S24_1444,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium,4
10349,S24_1444,Muscle Machine Inc,NYC,USA,NA,Small,4
10358,S24_1444,Euro Shopping Channel,Madrid,Spain,EMEA,Small,14
10371,S24_1444,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,12
10383,S24_1444,Euro Shopping Channel,Madrid,Spain,EMEA,Small,2
10394,S24_1444,Euro Shopping Channel,Madrid,Spain,EMEA,Small,2
10412,S24_1444,Euro Shopping Channel,Madrid,Spain,EMEA,Small,2
10425,S24_1444,La Rochelle Gifts,Nantes,France,EMEA,Small,1
10107,S24_1578,Land of Toys Inc.,NYC,USA,NA,Small,3
10120,S24_1578,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,1
10134,S24_1578,Lyon Souveniers,Paris,France,EMEA,Medium,3
10145,S24_1578,Toys4GrownUps.com,Pasadena,USA,NA,Medium,7
10159,S24_1578,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,15
10168,S24_1578,Technics Stores Inc.,Burlingame,USA,NA,Medium,2
10180,S24_1578,Daedalus Designs Imports,Lille,France,EMEA,Medium,10
10188,S24_1578,Herkku Gifts,Bergen,Norway,EMEA,Small,2
10201,S24_1578,Mini Wheels Co.,San Francisco,USA,NA,Medium,3
10211,S24_1578,Auto Canal Petit,Paris,France,EMEA,Small,15
10223,S24_1578,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,2
10237,S24_1578,Vitachrome Inc.,NYC,USA,NA,Small,8
10251,S24_1578,Tekni Collectables Inc.,Newark,USA,NA,Small,3
10263,S24_1578,Gift Depot Inc.,Bridgewater,USA,NA,Medium,3
10275,S24_1578,La Rochelle Gifts,Nantes,France,EMEA,Small,2
10285,S24_1578,Marta's Replicas Co.,Cambridge,USA,NA,Medium,7
10299,S24_1578,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium,10
10309,S24_1578,Baane Mini Imports,Stavern,Norway,EMEA,Small,6
10318,S24_1578,Diecast Classics Inc.,Allentown,USA,NA,Medium,2
10329,S24_1578,Land of Toys Inc.,NYC,USA,NA,Small,7
10339,S24_1578,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small,10
10362,S24_1578,Technics Stores Inc.,Burlingame,USA,NA,Medium,2
10374,S24_1578,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,6
10389,S24_1578,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,1
10403,S24_1578,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Medium,8
10417,S24_1578,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10110,S24_1628,"AV Stores, Co.",Manchester,UK,EMEA,Small,15
10123,S24_1628,Atelier graphique,Nantes,France,EMEA,Small,1
10137,S24_1628,Reims Collectables,Reims,France,EMEA,Small,1
10148,S24_1628,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,8
10161,S24_1628,Heintze Collectables,Aaarhus,Denmark,EMEA,Small,7
10172,S24_1628,Gift Depot Inc.,Bridgewater,USA,NA,Small,5
10181,S24_1628,Herkku Gifts,Bergen,Norway,EMEA,Small,1
10192,S24_1628,Online Diecast Creations Co.,Nashua,USA,NA,Small,6
10204,S24_1628,Muscle Machine Inc,NYC,USA,NA,Small,12
10212,S24_1628,Euro Shopping Channel,Madrid,Spain,EMEA,Small,5
10226,S24_1628,Collectable Mini Designs Co.,San Diego,USA,NA,Small,3
10241,S24_1628,Mini Caravy,Strasbourg,France,EMEA,Small,10
10266,S24_1628,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Small,1
10278,S24_1628,Signal Gift Stores,Las Vegas,USA,NA,Small,1
10288,S24_1628,Handji Gifts& Co,Singapore,Singapore,APAC,Small,13
10301,S24_1628,"Norway Gifts By Mail, Co.",Oslo,Norway,EMEA,Small,3
10311,S24_1628,Euro Shopping Channel,Madrid,Spain,EMEA,Small,8
10321,S24_1628,FunGiftIdeas.com,New Bedford,USA,NA,Small,5
10332,S24_1628,"AV Stores, Co.",Manchester,UK,EMEA,Small,5
10343,S24_1628,Reims Collectables,Reims,France,EMEA,Small,6
10367,S24_1628,Toys4GrownUps.com,Pasadena,USA,NA,Small,11
10379,S24_1628,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10407,S24_1628,The Sharp Gifts Warehouse,San Jose,USA,NA,Small,10
10420,S24_1628,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,13
10106,S24_1785,Rovelli Gifts,Bergamo,Italy,EMEA,Small,4
10120,S24_1785,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,10
10133,S24_1785,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,5
10145,S24_1785,Toys4GrownUps.com,Pasadena,USA,NA,Medium,16
10168,S24_1785,Technics Stores Inc.,Burlingame,USA,NA,Medium,11
10210,S24_1785,Osaka Souveniers Co.,Osaka,Japan,Japan,Small,9
10223,S24_1785,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,11
10235,S24_1785,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,NA,Small,5
10250,S24_1785,The Sharp Gifts Warehouse,San Jose,USA,NA,Small,6
10262,S24_1785,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,1
10275,S24_1785,La Rochelle Gifts,Nantes,France,EMEA,Small,11
10284,S24_1785,"Norway Gifts By Mail, Co.",Oslo,Norway,EMEA,Small,3
10297,S24_1785,"Clover Collections, Co.",Dublin,Ireland,EMEA,Medium,6
10308,S24_1785,Mini Classics,White Plains,USA,NA,Medium,9
10316,S24_1785,giftsbymail.co.uk,Cowes,UK,EMEA,Small,1
10328,S24_1785,Rovelli Gifts,Bergamo,Italy,EMEA,Medium,14
10339,S24_1785,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small,7
10353,S24_1785,Gift Ideas Corp.,Glendale,USA,NA,Small,2
10374,S24_1785,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,3
10386,S24_1785,Euro Shopping Channel,Madrid,Spain,EMEA,Small,11
10398,S24_1785,Reims Collectables,Reims,France,EMEA,Medium,16
10401,S24_1785,Tekni Collectables Inc.,Newark,USA,NA,Medium,5
10416,S24_1785,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Medium,6
10101,S24_1937,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Small,3
10110,S24_1937,"AV Stores, Co.",Manchester,UK,EMEA,Small,3
10124,S24_1937,Signal Gift Stores,Las Vegas,USA,NA,Small,2
10149,S24_1937,Signal Collectibles Ltd.,Brisbane,USA,NA,Small,7
10162,S24_1937,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,5
10173,S24_1937,Rovelli Gifts,Bergamo,Italy,EMEA,Small,9
10182,S24_1937,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,6
10193,S24_1937,"Australian Collectables, Ltd",Glen Waverly,Australia,APAC,Small,10
10205,S24_1937,Euro Shopping Channel,Madrid,Spain,EMEA,Small,5
10214,S24_1937,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small,3
10227,S24_1937,"Saveley & Henriot, Co.",Lyon,France,EMEA,Small,6
10243,S24_1937,Diecast Collectables,Boston,USA,NA,Small,1
10280,S24_1937,Amica Models & Co.,Torino,Italy,EMEA,Small,12
10288,S24_1937,Handji Gifts& Co,Singapore,Singapore,APAC,Small,1
10304,S24_1937,Auto Assoc. & Cie.,Versailles,France,EMEA,Small,16
10312,S24_1937,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,13
10322,S24_1937,Online Diecast Creations Co.,Nashua,USA,NA,Small,3
10332,S24_1937,"AV Stores, Co.",Manchester,UK,EMEA,Medium,6
10344,S24_1937,Marseille Mini Autos,Marseille,France,EMEA,Small,6
10356,S24_1937,Lyon Souveniers,Paris,France,EMEA,Large,5
10367,S24_1937,Toys4GrownUps.com,Pasadena,USA,NA,Small,13
10380,S24_1937,Euro Shopping Channel,Madrid,Spain,EMEA,Small,4
10391,S24_1937,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Large,8
10409,S24_1937,Handji Gifts& Co,Singapore,Singapore,APAC,Small,1
10420,S24_1937,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,1
10107,S24_2000,Land of Toys Inc.,NYC,USA,NA,Medium,7
10120,S24_2000,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,5
10134,S24_2000,Lyon Souveniers,Paris,France,EMEA,Medium,7
10145,S24_2000,Toys4GrownUps.com,Pasadena,USA,NA,Medium,11
10158,S24_2000,Baane Mini Imports,Stavern,Norway,EMEA,Small,1
10168,S24_2000,Technics Stores Inc.,Burlingame,USA,NA,Small,6
10180,S24_2000,Daedalus Designs Imports,Lille,France,EMEA,Small,14
10188,S24_2000,Herkku Gifts,Bergen,Norway,EMEA,Medium,6
10201,S24_2000,Mini Wheels Co.,San Francisco,USA,NA,Small,7
10210,S24_2000,Osaka Souveniers Co.,Osaka,Japan,Japan,Small,4
10223,S24_2000,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,6
10236,S24_2000,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Medium,3
10250,S24_2000,The Sharp Gifts Warehouse,San Jose,USA,NA,Small,1
10263,S24_2000,Gift Depot Inc.,Bridgewater,USA,NA,Small,7
10275,S24_2000,La Rochelle Gifts,Nantes,France,EMEA,Small,6
10285,S24_2000,Marta's Replicas Co.,Cambridge,USA,NA,Small,11
10297,S24_2000,"Clover Collections, Co.",Dublin,Ireland,EMEA,Small,1
10308,S24_2000,Mini Classics,White Plains,USA,NA,Small,4
10318,S24_2000,Diecast Classics Inc.,Allentown,USA,NA,Small,6
10329,S24_2000,Land of Toys Inc.,NYC,USA,NA,Medium,4
10340,S24_2000,Enaco Distributors,Barcelona,Spain,EMEA,Medium,8
10363,S24_2000,Suominen Souveniers,Espoo,Finland,EMEA,Medium,8
10375,S24_2000,La Rochelle Gifts,Nantes,France,EMEA,Small,9
10389,S24_2000,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,2
10402,S24_2000,Auto Canal Petit,Paris,France,EMEA,Medium,3
10416,S24_2000,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Small,1
10105,S24_2011,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Medium,9
10117,S24_2011,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,3
10129,S24_2011,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium,9
10142,S24_2011,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,6
10153,S24_2011,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,5
10167,S24_2011,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,16
10177,S24_2011,CAF Imports,Madrid,Spain,EMEA,Medium,7
10185,S24_2011,Mini Creations Ltd.,New Bedford,USA,NA,Medium,7
10197,S24_2011,Enaco Distributors,Barcelona,Spain,EMEA,Medium,13
10208,S24_2011,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,7
10221,S24_2011,Petit Auto,Bruxelles,Belgium,EMEA,Medium,1
10232,S24_2011,giftsbymail.co.uk,Cowes,UK,EMEA,Medium,4
10248,S24_2011,Land of Toys Inc.,NYC,USA,NA,Medium,10
10261,S24_2011,Quebec Home Shopping Network,Montreal,Canada,NA,Medium,8
10273,S24_2011,Petit Auto,Bruxelles,Belgium,EMEA,Small,11
10283,S24_2011,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,NA,Medium,13
10293,S24_2011,Amica Models & Co.,Torino,Italy,EMEA,Small,2
10306,S24_2011,"AV Stores, Co.",Manchester,UK,EMEA,Medium,7
10315,S24_2011,La Rochelle Gifts,Nantes,France,EMEA,Medium,6
10326,S24_2011,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium,4
10337,S24_2011,Classic Legends Inc.,NYC,USA,NA,Small,4
10350,S24_2011,Euro Shopping Channel,Madrid,Spain,EMEA,Small,7
10372,S24_2011,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Medium,8
10384,S24_2011,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,3
10396,S24_2011,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,6
10414,S24_2011,Gifts4AllAges.com,Boston,USA,NA,Medium,10
10101,S24_2022,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Small,2
10110,S24_2022,"AV Stores, Co.",Manchester,UK,EMEA,Small,2
10124,S24_2022,Signal Gift Stores,Las Vegas,USA,NA,Small,1
10149,S24_2022,Signal Collectibles Ltd.,Brisbane,USA,NA,Small,6
10162,S24_2022,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,4
10173,S24_2022,Rovelli Gifts,Bergamo,Italy,EMEA,Small,8
10182,S24_2022,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,5
10193,S24_2022,"Australian Collectables, Ltd",Glen Waverly,Australia,APAC,Small,9
10205,S24_2022,Euro Shopping Channel,Madrid,Spain,EMEA,Small,4
10214,S24_2022,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small,2
10227,S24_2022,"Saveley & Henriot, Co.",Lyon,France,EMEA,Small,5
10244,S24_2022,Euro Shopping Channel,Madrid,Spain,EMEA,Small,9
10255,S24_2022,Mini Caravy,Strasbourg,France,EMEA,Small,2
10280,S24_2022,Amica Models & Co.,Torino,Italy,EMEA,Small,11
10289,S24_2022,Herkku Gifts,Bergen,Norway,EMEA,Small,4
10304,S24_2022,Auto Assoc. & Cie.,Versailles,France,EMEA,Small,15
10312,S24_2022,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,12
10322,S24_2022,Online Diecast Creations Co.,Nashua,USA,NA,Medium,4
10332,S24_2022,"AV Stores, Co.",Manchester,UK,EMEA,Small,10
10345,S24_2022,Atelier graphique,Nantes,France,EMEA,Small,1
10356,S24_2022,Lyon Souveniers,Paris,France,EMEA,Small,7
10367,S24_2022,Toys4GrownUps.com,Pasadena,USA,NA,Small,12
10380,S24_2022,Euro Shopping Channel,Madrid,Spain,EMEA,Small,5
10391,S24_2022,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium,1
10421,S24_2022,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,2
10103,S24_2300,Baane Mini Imports,Stavern,Norway,EMEA,Medium,1
10114,S24_2300,"La Corne D'abondance, Co.",Paris,France,EMEA,Small,5
10126,S24_2300,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium,1
10140,S24_2300,Technics Stores Inc.,Burlingame,USA,NA,Medium,1
10151,S24_2300,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Medium,8
10165,S24_2300,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,17
10175,S24_2300,"Stylish Desk Decors, Co.",London,UK,EMEA,Small,6
10184,S24_2300,"Iberia Gift Imports, Corp.",Sevilla,Spain,EMEA,Medium,11
10194,S24_2300,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,1
10207,S24_2300,Diecast Collectables,Boston,USA,NA,Medium,12
10217,S24_2300,Handji Gifts& Co,Singapore,Singapore,APAC,Medium,1
10229,S24_2300,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,6
10246,S24_2300,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,10
10259,S24_2300,Handji Gifts& Co,Singapore,Singapore,APAC,Medium,9
10271,S24_2300,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,10
10281,S24_2300,Diecast Classics Inc.,Allentown,USA,NA,Small,6
10291,S24_2300,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,1
10305,S24_2300,Marta's Replicas Co.,Cambridge,USA,NA,Medium,10
10313,S24_2300,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium,4
10324,S24_2300,Vitachrome Inc.,NYC,USA,NA,Medium,2
10334,S24_2300,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium,5
10348,S24_2300,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium,1
10358,S24_2300,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,7
10371,S24_2300,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,5
10382,S24_2300,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,3
10412,S24_2300,Euro Shopping Channel,Madrid,Spain,EMEA,Large,10
10425,S24_2300,La Rochelle Gifts,Nantes,France,EMEA,Medium,9
10108,S24_2360,Cruz & Sons Co.,Makati City,Philippines,Japan,Small,15
10121,S24_2360,Reims Collectables,Reims,France,EMEA,Small,2
10135,S24_2360,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,16
10145,S24_2360,Toys4GrownUps.com,Pasadena,USA,NA,Small,3
10159,S24_2360,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,11
10169,S24_2360,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,11
10180,S24_2360,Daedalus Designs Imports,Lille,France,EMEA,Small,6
10190,S24_2360,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10211,S24_2360,Auto Canal Petit,Paris,France,EMEA,Small,11
10224,S24_2360,Daedalus Designs Imports,Lille,France,EMEA,Small,4
10237,S24_2360,Vitachrome Inc.,NYC,USA,NA,Small,4
10252,S24_2360,Auto Canal Petit,Paris,France,EMEA,Medium,8
10264,S24_2360,Gifts4AllAges.com,Boston,USA,NA,Small,6
10276,S24_2360,Online Mini Collectables,Brickhaven,USA,NA,Medium,12
10285,S24_2360,Marta's Replicas Co.,Cambridge,USA,NA,Small,3
10299,S24_2360,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Small,6
10309,S24_2360,Baane Mini Imports,Stavern,Norway,EMEA,Small,2
10319,S24_2360,Microscale Inc.,NYC,USA,NA,Small,7
10330,S24_2360,Cruz & Sons Co.,Makati City,Philippines,Japan,Medium,1
10341,S24_2360,Salzburg Collectables,Salzburg,Austria,EMEA,Medium,6
10355,S24_2360,Euro Shopping Channel,Madrid,Spain,EMEA,Small,3
10363,S24_2360,Suominen Souveniers,Espoo,Finland,EMEA,Small,14
10375,S24_2360,La Rochelle Gifts,Nantes,France,EMEA,Small,14
10390,S24_2360,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,4
10403,S24_2360,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Small,4
10110,S24_2766,"AV Stores, Co.",Manchester,UK,EMEA,Medium,11
10124,S24_2766,Signal Gift Stores,Las Vegas,USA,NA,Small,10
10148,S24_2766,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,4
10161,S24_2766,Heintze Collectables,Aaarhus,Denmark,EMEA,Small,3
10172,S24_2766,Gift Depot Inc.,Bridgewater,USA,NA,Small,1
10182,S24_2766,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,14
10192,S24_2766,Online Diecast Creations Co.,Nashua,USA,NA,Medium,2
10204,S24_2766,Muscle Machine Inc,NYC,USA,NA,Medium,8
10212,S24_2766,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,1
10227,S24_2766,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,14
10241,S24_2766,Mini Caravy,Strasbourg,France,EMEA,Medium,6
10267,S24_2766,Muscle Machine Inc,NYC,USA,NA,Medium,3
10279,S24_2766,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10288,S24_2766,Handji Gifts& Co,Singapore,Singapore,APAC,Small,9
10302,S24_2766,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Medium,5
10311,S24_2766,Euro Shopping Channel,Madrid,Spain,EMEA,Small,4
10321,S24_2766,FunGiftIdeas.com,New Bedford,USA,NA,Small,1
10332,S24_2766,"AV Stores, Co.",Manchester,UK,EMEA,Medium,7
10346,S24_2766,Signal Gift Stores,Las Vegas,USA,NA,Small,1
10368,S24_2766,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,2
10380,S24_2766,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10407,S24_2766,The Sharp Gifts Warehouse,San Jose,USA,NA,Large,6
10420,S24_2766,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,9
10104,S24_2840,Euro Shopping Channel,Madrid,Spain,EMEA,Small,10
10114,S24_2840,"La Corne D'abondance, Co.",Paris,France,EMEA,Small,1
10127,S24_2840,Muscle Machine Inc,NYC,USA,NA,Small,12
10141,S24_2840,Suominen Souveniers,Espoo,Finland,EMEA,Small,6
10151,S24_2840,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Small,4
10165,S24_2840,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Small,13
10175,S24_2840,"Stylish Desk Decors, Co.",London,UK,EMEA,Small,2
10184,S24_2840,"Iberia Gift Imports, Corp.",Sevilla,Spain,EMEA,Small,7
10195,S24_2840,Mini Classics,White Plains,USA,NA,Small,7
10207,S24_2840,Diecast Collectables,Boston,USA,NA,Small,8
10219,S24_2840,Signal Collectibles Ltd.,Brisbane,USA,NA,Small,3
10229,S24_2840,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,2
10246,S24_2840,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10259,S24_2840,Handji Gifts& Co,Singapore,Singapore,APAC,Small,5
10271,S24_2840,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,6
10281,S24_2840,Diecast Classics Inc.,Allentown,USA,NA,Small,2
10292,S24_2840,Land of Toys Inc.,NYC,USA,NA,Small,9
10305,S24_2840,Marta's Replicas Co.,Cambridge,USA,NA,Small,6
10314,S24_2840,Heintze Collectables,Aaarhus,Denmark,EMEA,Small,15
10324,S24_2840,Vitachrome Inc.,NYC,USA,NA,Medium,9
10335,S24_2840,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,2
10349,S24_2840,Muscle Machine Inc,NYC,USA,NA,Small,3
10358,S24_2840,Euro Shopping Channel,Madrid,Spain,EMEA,Small,4
10371,S24_2840,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,8
10383,S24_2840,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10394,S24_2840,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10412,S24_2840,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10425,S24_2840,La Rochelle Gifts,Nantes,France,EMEA,Small,5
10106,S24_2841,Rovelli Gifts,Bergamo,Italy,EMEA,Medium,13
10119,S24_2841,Salzburg Collectables,Salzburg,Austria,EMEA,Small,4
10131,S24_2841,Gift Ideas Corp.,Glendale,USA,NA,Small,5
10143,S24_2841,Mini Creations Ltd.,New Bedford,USA,NA,Small,8
10155,S24_2841,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Small,6
10167,S24_2841,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Small,2
10178,S24_2841,Alpha Cognac,Toulouse,France,EMEA,Small,5
10186,S24_2841,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Small,2
10198,S24_2841,Cruz & Sons Co.,Makati City,Philippines,Japan,Medium,5
10209,S24_2841,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Medium,1
10222,S24_2841,Collectable Mini Designs Co.,San Diego,USA,NA,Small,5
10249,S24_2841,Cambridge Collectables Co.,Cambridge,USA,NA,Small,1
